REC_NO,AFFINITY_CARD,CUST_GENDER,AGE,OCCUPATION,CUST_INCOME_LEVEL,CUST_MARITAL_STATUS,HOUSEHOLD_SIZE,YRS_RESIDENCE,PROD_NAME,PROD_CATEGORY,PROD_SUBCATEGORY,PROD_LIST_PRICE,QUANTITY_SOLD,AMOUNT_SOLD,COUNTRY_NAME
1,0,F,62,Exec.,"G: 130,000 - 149,999",Widowed,2,3,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
2,0,M,34,Sales,"K: 250,000 - 299,999",NeverM,2,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
3,0,M,34,Sales,"K: 250,000 - 299,999",NeverM,2,6,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
4,0,F,50,Sales,"K: 250,000 - 299,999",Divorc.,2,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
5,0,F,40,Other,"L: 300,000 and above",Divorc.,2,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
6,1,M,29,Prof.,"G: 130,000 - 149,999",Married,3,3,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
7,0,M,42,Transp.,"D: 70,000 - 89,999",Married,3,5,Keyboard Wrist Rest,Software/Other,Accessories,11.99,1,11.99,USA
8,0,M,42,Transp.,"D: 70,000 - 89,999",Married,3,5,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
9,0,F,49,Cleric.,"B: 30,000 - 49,999",Divorc.,2,5,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
10,0,F,34,Exec.,"K: 250,000 - 299,999",Divorc.,9+,4,"Multimedia speakers- 3"" cones",Peripherals and Accessories,Accessories,44.99,1,44.99,USA
11,0,F,34,Exec.,"K: 250,000 - 299,999",Divorc.,9+,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
12,0,F,68,Farming,"I: 170,000 - 189,999",Mabsent,9+,5,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
13,0,F,57,Other,"J: 190,000 - 249,999",Divorc.,9+,6,Mouse Pad,Software/Other,Accessories,9.99,1,9.99,USA
14,0,M,39,Exec.,"I: 170,000 - 189,999",Married,3,4,Standard Mouse,Peripherals and Accessories,Accessories,22.99,1,22.99,USA
